"Kickoff","1.1",2
"HTML & CSS Intro","1.2",2
"HTML CSS Git","1.3",1
"Review + Git Branching & Heroku","2.1",2
"Branching & Bootstrap","2.2",2
"Bootstrap Continued","2.3",1
"Intro to JavaScript","3.1",2
"Arrays Loops RPS Breakpoints","3.2",2
"Objects & Functions","3.3",1
"Intro to jQuery","4.1",2
"JavaScript Scope + jQuery Continued","4.2",2
"Using Arrays & Objects With jQuery","4.3",1
"Javascript Review Day","5.1",2
"Javascript / jQuery Timers","5.2",2
"Technical Interview Day #1","5.3",1
"Intro to APIs and AJAX","6.1",2
"Advanced AJAX","6.2",2
"New York Times Real World App Development","6.3",1
"Intro to Client-Side Storage","7.1",2
"Intro to Firebase","7.2",2
"Firebase Application Building + Groups For Projects Announced","7.3",1
"Intro to Project #1 / Project Work","8.1",2
"Project Work","8.2",2
"Project Work","8.3",1
"Interview Questions and Project Work-Pt.1",9.1",2
"Interview Questions and Project Work-Pt.2",9.2",2
"Project Presentations #1","9.3",1
"Intro to Node.js","10.1",2
"Reading and Writing Files with Node","10.2",2
"NPM Packages","10.3",1
"Javascript Constructors Pt I","11.1",2
"Javascript Constructors Pt II","11.2",2
"Javascript Callbacks","11.3",1
"Introduction to MySQL","12.1",2
"Node - MySQL Integration","12.2",2
"Massive MySQL Data Project","12.3",1
"Intro to Node Web Servers","13.1",2
"Intro to Express Servers","13.2",2
""Hot Restaurant - Backend Application"0","13.3",1
"Intro to Handlebars","14.1",2
"Express.js + Handlebars.js + MySQL","14.2",2
"Intro to ORMs","14.3",1
"Sequelize ORM","15.1",2
"Sequelized Associations","15.2",2
"Sequelize Relationship and Migrations / Intro to Project #2","15.3",1
"Project Work","16.1",2
"Testing / Project Work","16.2",2
"No class","16.3",1
"SEO / Project Work","17.1",2
"Project Work / SEO (Time Permitting)","17.2",2
"Intro to MongoDB","17.3",1
"Project Presentations #2","18.1",2
"Web Scraping / MongoDB","18.2",2
"Mongoose ORM","18.3",1
"Intro to React.js","19.1",2
"React States and Props","19.2",2
"MERN Stack (Mongo, Express, React, Node)","19.3",1
"React Native","20.1",2
"React Native","20.2",2
"React Native / Intro to Project # 3","20.3",1
"Intro to PHP","21.1",2
"Intro to Laravel","21.2",2
"Laravel","21.3",1
"Search & Sort Algorithms / Project Work","22.1",2
"Intro to Data Structures / Project Work","22.2",2
"Intro to Design Patterns / Project Work","22.3",1
"Three Programming Languages (Ruby)","23.1",2
"Three Programming Languages (Java)","23.2",2
"Three Programming Languages (Python, Go, PHP, C#, etc)","23.3",1
"Project Work","24.1",2
"Project Work","24.2",2
"Final Project Presentations","24.3",1
"Project Work","25.1",2
"Demo Day","25.2",2
"Conclusion","25.3",1